,0
0,Neuwerk
1,Neugraben-Fischbek
2,Francop
3,Neuenfelde
4,Moorburg
5,Heimfeld
6,Gut Moor
7,Wilstorf
8,Eißendorf
9,Ochsenwerder
10,Wilhelmsburg
11,Sinstorf
12,Marmstorf
13,Hausbruch
14,Rönneburg
15,Langenbek
16,Harburg
17,Neuland
18,Tatenberg
19,Spadenland
20,Finkenwerder
21,Lurup
22,Nienstedten
23,Rissen
24,Cranz
25,Blankenese
26,Sülldorf
27,Osdorf
28,Iserbrook
29,Waltershof
30,Altenwerder
31,Altona-Altstadt
32,Lokstedt
33,Schnelsen
34,Eidelstedt
35,Stellingen
36,Othmarschen
37,Winterhude
38,Fuhlsbüttel
39,Ohlsdorf
40,Langenhorn
41,Lemsahl-Mellingstedt
42,Poppenbüttel
43,Hummelsbüttel
44,Bramfeld
45,Wellingsbüttel
46,Wandsbek
47,Marienthal
48,St. Pauli
49,Billbrook
50,Veddel
51,Horn
52,Ottensen
53,Steinwerder
54,Bahrenfeld
55,Groß Flottbek
56,Sternschanze
57,Hoheluft-West
58,Eimsbüttel
59,Altona-Nord
60,HafenCity
61,Altstadt
62,Neustadt
63,Hammerbrook
64,Kleiner Grasbrook
65,Moorfleet
66,Hamm
67,Rothenburgsort
68,St. Georg
69,Rotherbaum
70,Harvestehude
71,Hoheluft-Ost
72,Eppendorf
73,Uhlenhorst
74,Hohenfelde
75,Borgfelde
76,Barmbek-Süd
77,Dulsberg
78,Barmbek-Nord
79,Eilbek
80,Niendorf
81,Alsterdorf
82,Groß Borstel
83,Steilshoop
84,Allermöhe
85,Neuengamme
86,Reitbrook
87,Kirchwerder
88,Altengamme
89,Curslack
90,Bergedorf
91,Billwerder
92,Lohbrügge
93,Neuallermöhe
94,Duvenstedt
95,Wohldorf-Ohlstedt
96,Sasel
97,Volksdorf
98,Rahlstedt
99,Farmsen-Berne
100,Billstedt
101,Tonndorf
102,Jenfeld
103,Bergstedt
104,Piazzetta Ralph Giordano
105,Alsterarkaden
106,Axel-Springer-Platz
107,BalllinPark
108,Beatles-Platz
109,Colonnaden
110,Dar-es-Salaam-Platz
111,Edith-Stein-Platz
112,Fähranleger Teufelsbrück
113,Fischmarkt
114,Gängeviertel Peterstraße
115,Gedenkstätte KZ Neuengamme
116,Gerhart-Hauptmann-Platz und Ida-Ehre-Platz
117,Gertrudenkirchhof
118,Hagenbeck Vorplatz
119,Hamburger Rathaus: Innenhof
120,Hansaplatz
121,Heidi-Kabel-Platz
122,Bramfelder Marktplatz
123,Hühnerposten
124,Arno-Schmidt-Platz
125,Domplatz
126,Joseph-Carlebach-Platz
127,Jungfernstieg
128,Karostar
129,Kemal-Altun-Platz
130,Lindenplatz
131,Magellan-Terrassen
132,Michel Vorplatz
133,Michelwiese
134,Petersenplatz (Neuer Wall - Business Improvement District)
135,Paulinenplatz
136,Platz der Republik
137,Promenade am Hafen
138,Promenade Polder Neumühlen
139,Rathausmarkt
140,Sachsentor: Bergedorf
141,Sievekingplatz
142,Spielbudenplatz
143,St. Nikolai Ruine
144,Berta-Kröger-Platz / Muharrem-Acar-Brücke
145,Alma-Wartenberg-Platz
146,Bergedorfer Bahnhofsvorplatz
147,Elbberg Campus und Dockland
148,Großneumarkt
149,Hans-Albers-Platz
150,Hohe Bleichen / Heuberg
151,Steilshoop - Zentrum und Mittelachse
152,Platz am Berliner Tor Center
153,Johannes Brahms-Platz
154,Karolinenplatz - Platz an der Gnadenkirche
155,Marco-Polo-Terrassen
156,Museumsachse Harburg
157,Promenade bei der Erholung
158,Spritzenplatz
159,Stephansplatz mit Opernboulevard
160,Wandsbek Markt
161,Gänsemarkt
162,St. Annen Ensemble
163,Steintorplatz
164,Vasco da Gama-Platz
165,Allende Platz
166,Falkenried
167,Dreiecksplatz
168,Park Fiction - Antonipark
169,Bert-Kaempfert-Platz
170,Harburger Rathausplatz
171,Jarreplatz
172,Kalischer Platz
173,Kanalplatz
174,Lohseplatz
175,Lotsekai
176,Löschplatz
177,Marktplatz Sand
178,Marie-Jonas-Platz
179,Schwanenwik
180,Straßburger Platz
181,Vorplatz Museum der Arbeit
182,Winterhuder Marktplatz
183,Hein-Köllisch-Platz
184,Elb Boulevard
